 Dates ; HF Index ; UST ; SPX ; RTY ; SX5E ; TPX ; EUR ; JPY ; MSCI_EM 
30/09/1998;0.0033;0.037;0.0645;0.0712;-0.1044;-0.0503;0.0499;0.0264;0.0559
31/10/1998;0.0075;-0.0093;0.0772;0.0356;0.0813;0.0114;0.0066;0.1733;0.0996
30/11/1998;0.0356;-0.0107;0.0518;0.0474;0.0981;0.097;-0.025;-0.0619;0.0778
31/12/1998;0.0213;-0.0015;0.0608;0.0562;0.0508;-0.0703;0.0105;0.078;-0.0229
31/01/1999;0.0148;0.0002;0.0289;0.0082;0.0569;0.0471;-0.0321;-0.0278;-0.0211
28/02/1999;-0.0181;-0.0375;-0.0359;-0.0859;-0.024;-0.0094;-0.0322;-0.0256;0.0049
31/03/1999;0.0279;-0.0005;0.0367;0.0096;0.0166;0.102;-0.0249;-0.0039;0.1246
30/04/1999;0.0539; -     ;0.0334;0.0844;0.0544;0.0545;-0.0175;-0.0078;0.1181
31/05/1999;0.0089;-0.0218;-0.0294;0.0095;-0.0305;-0.0354;-0.019;-0.0209;-0.0129
30/06/1999;0.0389;-0.003;0.0547;0.0392;0.0459;0.0879;-0.0075;-0.0003;0.1073
31/07/1999;0.0006;-0.008;-0.0361;-0.0326;-0.0442;0.0189;0.0328;0.0526;-0.033
31/08/1999;-0.0013;-0.0028;-0.009;-0.0424;0.0366;-0.0239;-0.0141;0.0409;0.004
30/09/1999;0.0025;0.0071;-0.0276;-0.0057;-0.0311;0.0096;0.0061;0.0244;-0.0396
31/10/1999;0.0135;-0.0038;0.0601;-0.0014;0.0707;0.0191;-0.0145;0.0167;0.0159
30/11/1999;0.0505;-0.0043;0.0111;0.0548;0.1032;0.0343;-0.0452;0.018;0.0848
31/12/1999;0.0846;-0.0167;0.053;0.1062;0.1325;0.0197;-0.0003;-0.0087;0.1205
31/01/2000;0.0051;-0.0111;-0.0561;-0.0217;-0.0547;0.0318;-0.0428;-0.053;-0.0008
29/02/2000;0.0811;0.0103;-0.0207;0.1593;0.1116;0.0214;-0.0055;-0.0286;0.008
31/03/2000;0.0141;0.0281;0.0901;-0.0718;0.0042;0.0188;-0.0133;0.0712;-0.0016
30/04/2000;-0.0301;-0.0113;-0.0365;-0.066;0.0145;-0.1163;-0.0505;-0.0595;-0.1013
31/05/2000;-0.0262; -     ;-0.0259;-0.0646;-0.0196;-0.0914;0.0272;-0.0003;-0.0488
30/06/2000;0.0365;0.0174;0.0168;0.0807;-0.0084;0.066;0.0164;0.0107;0.0265
31/07/2000;-0.0105;0.0042;-0.0199;-0.0376;-0.0056;-0.0968;-0.0298;-0.0369;-0.0581
31/08/2000;0.0385;0.0128;0.0572;0.0689;0.0012;0.072;-0.0442;0.0187;-0.002
30/09/2000;-0.0205;0.0014;-0.0585;-0.0362;-0.0512;-0.0664;-0.0079;-0.0179;-0.0941
31/10/2000;-0.0185;0.0048;-0.0093;-0.051;0.029;-0.077;-0.0391;-0.0134;-0.0785
30/11/2000;-0.0315;0.0215;-0.0824;-0.1095;-0.0601;0.0072;0.0258;-0.0175;-0.0935
31/12/2000;0.0123;0.0177;-0.0046;0.0786;-0.0103;-0.0595;0.0759;-0.0429;0.0171
31/01/2001;0.0255;0.0035;0.0284;0.0458;-0.0004;0.0037;-0.009;-0.0204;0.13
28/02/2001;-0.0246;0.0105;-0.0953;-0.0715;-0.1042;-0.0697;-0.0118;-0.0129;-0.0838
31/03/2001;-0.0163;0.0026;-0.0684;-0.0546;-0.0388;0.0087;-0.0478;-0.0727;-0.1071
30/04/2001;0.0188;-0.023;0.0728;0.073;0.0924;0.0718;0.0098;0.0154;0.0423
31/05/2001;0.0103;-0.0009;0.0025;0.0193;-0.0219;-0.0483;-0.0477;0.0338;0.0049
30/06/2001;-0.0004;0.002;-0.0282;0.0294;-0.0366;-0.0222;0.0042;-0.0481;-0.0265
31/07/2001;-0.0122;0.0301;-0.0133;-0.0579;-0.0436;-0.0855;0.0307;-0.0058;-0.0689
31/08/2001;-0.0071;0.0103;-0.066;-0.0366;-0.0873;-0.0968;0.0405;0.0498;-0.0147
30/09/2001;-0.026;0.0215;-0.0857;-0.1389;-0.1222;-0.0877;0.0006;-0.0103;-0.1598
31/10/2001;0.0188;0.0252;0.0163;0.0554;0.0485;0.0605;-0.011;-0.0257;0.0593
30/11/2001;0.0211;-0.0293;0.0748;0.0743;0.0523;0.0319;-0.0033;-0.0116;0.1014
31/12/2001;0.0132;-0.0169;0.0067;0.0584;0.0396;-0.0145;-0.0051;-0.0628;0.0762
31/01/2002;0.0064;0.007;-0.0164;-0.0126;-0.0399;-0.0517;-0.0349;-0.0253;0.031
28/02/2002;-0.0075;0.0129;-0.0208;-0.03;-0.0109;0.059;0.0133;0.0071;0.0138
31/03/2002;0.0174;-0.0328;0.0362;0.0775;0.0312;0.0412;0.0037;0.0058;0.0545
30/04/2002;0.0004;0.0304;-0.0627;0.0067;-0.0451;0.0423;0.0355;0.0311;0.0024
31/05/2002;-0.0015;0.0111;-0.009;-0.047;-0.0393;0.0235;0.0363;0.0322;-0.0201
30/06/2002;-0.0205;0.0184;-0.0737;-0.0525;-0.0801;-0.0971;0.0653;0.0385;-0.0782
31/07/2002;-0.0285;0.0315;-0.0794;-0.1533;-0.1505;-0.0701;-0.0138;-0.0042;-0.0801
31/08/2002;0.0035;0.0233;0.005;-0.0052;0.0157;-0.0262;0.0055;0.0078;0.013
30/09/2002;-0.0155;0.0368;-0.1107;-0.0749;-0.1855;-0.0246;0.0072;-0.027;-0.1112
31/10/2002;0.0065;-0.0102;0.0864;0.0295;0.1266;-0.0792;0.0037;-0.0091;0.0626
30/11/2002;0.0206;-0.0191;0.0571;0.0865;0.0477;0.0665;0.0065;-0.0011;0.0664
31/12/2002;-0.0012;0.0354;-0.0603;-0.0585;-0.0969;-0.0691;0.0579;0.0315;-0.0352
31/01/2003;0.0048;-0.0098;-0.0275;-0.0297;-0.0589;-0.0279;0.0253;-0.0113;-0.0068
28/02/2003;-0.0021;0.0245;-0.0161;-0.0324;-0.0546;0.0027;0.0055;0.0146;-0.0326
31/03/2003;0.0019;-0.0042;0.0083;0.01;-0.0373;-0.0467;0.0097;-0.0023;-0.0332
30/04/2003;0.0249;0.0022;0.0816;0.0926;0.1386;-0.0178;0.0268;-0.0069;0.083
31/05/2003;0.0349;0.0341;0.0515;0.1051;0.0174;0.0757;0.0559;-0.0044;0.0676
30/06/2003;0.0119;-0.0085;0.0115;0.0156;0.043;0.0781;-0.0242;-0.0051;0.0536
31/07/2003;0.0091;-0.058;0.0164;0.0607;0.0358;0.0528;-0.0212;-0.0078;0.059
31/08/2003;0.0161;0.0083;0.0186;0.044;0.0199;0.0816;-0.0232;0.0333;0.064
30/09/2003;0.0071;0.0446;-0.0119;-0.0205;-0.0657;-0.0121;0.0623;0.0455;0.0047
31/10/2003;0.0241;-0.0203;0.0557;0.0822;0.0748;0.0333;-0.0052;0.0114;0.0824
30/11/2003;0.0091;0.0009;0.0079;0.0337;0.0209;-0.0435;0.0367;0.0039;0.0094
31/12/2003;0.018;0.0124;0.0513;0.0181;0.0419;0.057;0.0485;0.017;0.0703
31/01/2004;0.0191;0.0105;0.0174;0.0419;0.0337;0.01;-0.0069;0.016;0.0316
29/02/2004;0.0091;0.017;0.013;0.0073;0.0158;0.0239;0.0034;-0.0322;0.044
31/03/2004;0.0011;0.0135;-0.0163;0.0072;-0.0375;0.0735;-0.0145;0.0451;0.0081
30/04/2004;-0.0129;-0.0425;-0.0167;-0.0526; -     ;-0.0167;-0.0253;-0.0553;-0.0855
31/05/2004;-0.0059;-0.0056;0.0128;0.0142;0.0007;-0.0221;0.0178;0.0083;-0.0237
30/06/2004;0.0051;0.0087;0.0186;0.04;0.0247;0.0616;0.0015;0.0043;0.0013
31/07/2004;-0.0101;0.0126;-0.0345;-0.0692;-0.0359;-0.0559;-0.014;-0.0247;-0.0221
31/08/2004;-0.0013;0.0248;0.0027;-0.0073;-0.0133;-0.0177;0.0135;0.0182;0.038
30/09/2004;0.0136;0.0028;0.0095;0.0443;0.0167;-0.0217;0.0222;-0.0078;0.0541
31/10/2004;0.0045;0.0083;0.0138;0.0174;0.0315;-0.0106;0.0286;0.0372;0.0203
30/11/2004;0.0253;-0.0186;0.0387;0.0839;0.0199;0.0116;0.0395;0.0269;0.0904
31/12/2004;0.0131;0.0109;0.0318;0.0262;0.0233;0.0595;0.0192;0.0016;0.0449
31/01/2005;-0.003;0.0028;-0.0264;-0.0443;0.0156;-0.0101;-0.0386;-0.0124;-0.0018
28/02/2005;0.0148;-0.0123;0.019;0.0139;0.0177;0.033;0.016;-0.0101;0.0834
31/03/2005;-0.0103;-0.0056;-0.0204;-0.0322; -     ;-0.0111;-0.0217;-0.0276;-0.0702
30/04/2005;-0.0174;0.0197;-0.0215;-0.0604;-0.0316;-0.0569;-0.0079;0.0199;-0.0328
31/05/2005;0.0054;0.0128;0.0292;0.0619;0.0626;0.0247;-0.0445;-0.0358;0.0278
30/06/2005;0.0124;0.0019;-0.0016;0.0346;0.035;0.0239;-0.0171;-0.0237;0.0284
31/07/2005;0.0172;-0.022;0.0345;0.0599;0.0407;0.0308;0.0011;-0.0167;0.0634
31/08/2005;0.0051;0.0174;-0.0124;-0.0224;-0.0174;0.0539;0.0159;0.0128;0.0032
30/09/2005;0.0149;-0.0192;0.0053;-0.0011;0.0479;0.0959;-0.0274;-0.0291;0.0878
31/10/2005;-0.0162;-0.0134;-0.0198;-0.035;-0.0352;0.0011;-0.003;-0.0265;-0.0696
30/11/2005;0.0146;0.0027;0.0341;0.044;0.0425;0.0858;-0.0182;-0.0321;0.0785
31/12/2005;0.0134;0.0081;-0.0035;-0.0096;0.0334;0.0859;0.002;0.0116;0.054
31/01/2006;0.03;-0.0089;0.023;0.0854;0.0326;0.0267;0.0251;0.0014;0.1057
28/02/2006;-0.0009;-0.0041;-0.0009;-0.0073;0.0194;-0.036;-0.0204;0.0107;-0.0059
31/03/2006;0.0149;-0.014;0.0083;0.0434;0.0191;0.0695;0.0149;-0.0209;0.0034
30/04/2006;0.0152;-0.0076;0.0097;-0.0048;-0.0021;-0.0044;0.0388;0.0311;0.0642
31/05/2006;-0.0172;-0.0049;-0.0333;-0.0611;-0.042;-0.0753;0.0136;0.0051;-0.1118
30/06/2006;-0.0081;-0.0005;-0.0027;0.0008;0.0069;-0.0105;-0.0036;-0.0198;-0.0089
31/07/2006;-0.0065;0.0111;0.0019;-0.0377;0.009;-0.0042;-0.0029;-0.0054;0.0067
31/08/2006;0.0042;0.0132;0.0186;0.024;0.0311;0.0425;0.0008;-0.0279;0.0184
30/09/2006;-0.0043;0.0064;0.0216;0.0026;0.0222;0.0031;-0.0116;-0.0101;0.0021
31/10/2006;0.0123;0.0014;0.0281;0.0524;0.0253;0.0162;0.0045;0.0056;0.0422
30/11/2006;0.0149;0.0083;0.0142;0.0207;-0.0045;-0.0089;0.0363;0.0056;0.0688
31/12/2006;0.0109;-0.0158;0.0096;-0.0025;0.0333;0.0635;-0.006;-0.0316;0.0397
31/01/2007;0.0075;-0.0066;0.0102;0.0117;0.0087;0.0096;-0.0135;-0.0174;-0.0167
28/02/2007;0.0019;0.0168;-0.0236;-0.0132;-0.0236;0.0043;0.0142;0.0164;-0.011
31/03/2007;0.0043;-0.0042;0.0068;0.0049;0.0191;-0.0114;0.0079;0.0005;0.033
30/04/2007;0.0136;0.0018;0.04;0.0129;0.0562;0.0034;0.0211;-0.0185;0.0396
31/05/2007;0.016;-0.0178;0.0299;0.0356;0.0394;0.0376;-0.0156;-0.0217;0.0418
30/06/2007;0.0049;-0.0063;-0.021;-0.0203;-0.0064;0.0103;0.0048;-0.0155;0.0398
31/07/2007;-0.0004;0.0163;-0.0353;-0.0735;-0.0414;-0.0564;0.0105;0.0326;0.0457
31/08/2007;-0.0208;0.0192;0.0101;0.0171;-0.0074;-0.0324;-0.0046;0.0208;-0.0276
